City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,cap-aux-meules,47.3821,-61.8597,9.03,57,40,2.06,CA,1681253700
131,usoke,-5.1667,32.35,18.19,93,89,1.05,TZ,1681253902
132,campbell river,50.0163,-125.2446,9.74,57,75,5.14,CA,1681253975
133,fort nelson,58.8053,-122.7002,8.77,21,20,6.69,CA,1681253903
134,ahipara,-35.1667,173.1667,19.23,87,93,5.5,NZ,1681254185
135,saint joseph,39.7686,-94.8466,25.8,42,0,8.23,US,1681253659
136,champerico,14.3,-91.9167,34.3,61,5,6.14,GT,1681253903
137,sorland,67.667,12.6934,5.92,78,100,8.33,NO,1681254186
138,rantepao,-2.9701,119.8978,20.0,88,88,1.25,ID,1681253904
139,olafsvik,64.8945,-23.7142,4.26,89,100,4.84,IS,1681254186
140,georgetown,5.4112,100.3354,27.96,93,20,1.03,MY,1681254064
141,kichera,55.9375,110.0997,-8.34,79,94,1.53,RU,1681253904
142,sao joao da barra,-21.6403,-41.0511,24.05,75,83,4.53,BR,1681254186
143,north platte,41.1239,-100.7654,30.94,13,0,9.77,US,1681253905
144,yaounde,3.8667,11.5167,19.85,99,100,0.99,CM,1681253870
145,langsa,4.4683,97.9683,23.48,93,66,1.02,ID,1681253906
146,cortez,37.3489,-108.5859,25.42,13,0,4.12,US,1681253654
147,langxiang,46.95,128.8833,-0.94,55,94,5.26,CN,1681253907
148,makubetsu,45.3714,141.8211,8.42,92,92,11.92,JP,1681253907
149,sao jose da coroa grande,-8.8978,-35.1478,26.09,78,100,3.22,BR,1681253907
150,lasa,46.6166,10.7002,7.49,80,87,0.97,IT,1681253908
151,erenhot,43.6475,111.9767,2.23,22,9,5.22,CN,1681253908
152,urumqi,43.801,87.6005,5.53,76,0,3.0,CN,1681253908
153,tianpeng,30.9866,103.9393,18.26,72,85,1.33,CN,1681253909
154,jalu,29.0331,21.5482,14.22,66,1,6.8,LY,1681253909
155,margate,51.3813,1.3862,9.27,91,100,4.47,GB,1681254188
156,fortuna,40.5982,-124.1573,13.85,65,11,2.24,US,1681254090
157,praia,14.9215,-23.5087,22.3,64,40,6.69,CV,1681254188
158,ganzhou,28.8184,115.4327,19.82,90,59,1.92,CN,1681253910
159,altamira,-3.2033,-52.2064,23.92,93,59,1.16,BR,1681253650
160,andra,62.5147,65.8878,-2.28,96,100,3.46,RU,1681253911
161,simbahan,6.3032,120.5836,27.54,76,13,4.14,PH,1681253911
162,quatre cocos,-20.2078,57.7625,25.61,83,70,4.71,MU,1681253712
163,port hedland,-20.3167,118.5667,26.03,69,96,2.06,AU,1681253912
164,provideniya,64.3833,-173.3,-17.94,60,0,8.0,RU,1681254171
165,batemans bay,-35.7167,150.1833,14.5,60,87,1.73,AU,1681253912
166,vostok,46.4856,135.8833,-3.67,83,100,5.62,RU,1681254189
167,nanortalik,60.1432,-45.2371,-0.78,92,97,3.16,GL,1681254120
168,leleasca,44.7833,24.4333,6.55,74,84,3.13,RO,1681253913
169,virginia beach,36.8529,-75.978,22.03,46,20,5.14,US,1681254118
170,bengkulu,-3.8004,102.2655,24.06,88,96,1.5,ID,1681254190
171,saint george,37.1041,-113.5841,31.81,14,0,9.26,US,1681254190
172,agua verde,22.9,-106.05,25.5,53,77,4.5,MX,1681253914
173,vao,-22.6667,167.4833,23.61,83,83,3.04,NC,1681254190
174,micheweni,-4.9667,39.8333,27.02,78,42,1.64,TZ,1681253914
175,auriflama,-20.6856,-50.5547,21.38,87,14,1.52,BR,1681253914
176,kattivakkam,13.2167,80.3167,27.82,88,2,3.34,IN,1681254190
177,lohja,60.2486,24.0653,5.1,71,100,1.58,FI,1681253915
178,hilo,19.7297,-155.09,26.85,66,0,5.14,US,1681253744
179,vangaindrano,-23.35,47.6,21.74,95,9,1.83,MG,1681253915
180,ribeira grande,38.5167,-28.7,15.99,87,100,4.02,PT,1681254186
181,kodinsk,58.6881,99.1844,-6.3,83,100,6.25,RU,1681253916
182,lima,-12.0432,-77.0282,26.61,72,75,5.66,PE,1681253465
183,itarema,-2.9248,-39.9167,24.69,82,99,3.44,BR,1681253916
184,tasiilaq,65.6145,-37.6368,2.09,96,100,0.61,GL,1681254191
185,saint-georges,12.0564,-61.7485,26.82,74,20,10.29,GD,1681253917
186,scarborough,54.2797,-0.4044,7.76,88,100,5.81,GB,1681253670
187,yenagoa,4.9247,6.2642,24.78,88,96,2.1,NG,1681253917
188,bathsheba,13.2167,-59.5167,26.34,69,20,6.17,BB,1681254072
189,bairiki,1.3292,172.9752,30.0,74,20,2.57,KI,1681253918
190,eureka,40.8021,-124.1637,15.97,69,6,2.68,US,1681254024
191,victoria,22.2855,114.1577,25.67,90,82,1.42,HK,1681253974
192,talavera de la reina,39.9635,-4.8308,13.0,64,60,3.97,ES,1681253749
193,la ronge,55.1001,-105.2842,2.14,87,100,1.03,CA,1681254192
194,bacolod,10.6667,122.95,25.64,74,97,0.2,PH,1681253919
195,ursulo galvan,22.7333,-98.3,22.41,58,84,4.95,MX,1681253919
196,esperance,-33.8667,121.9,16.08,83,1,5.04,AU,1681254177
197,anisoc,1.8658,10.7689,20.24,100,100,1.55,GQ,1681253919
198,sakakah,29.9697,40.2064,18.76,62,73,5.4,SA,1681254193
199,pangnirtung,66.1451,-65.7125,-11.0,62,40,2.06,CA,1681254193
200,san isidro,-12.1167,-77.05,27.23,72,75,5.66,PE,1681253919
201,nome,64.5011,-165.4064,-14.91,59,76,2.07,US,1681254097
202,amboasary,-25.0333,46.3833,21.61,91,55,1.97,MG,1681253920
203,hasaki,35.7333,140.8333,17.94,78,100,13.53,JP,1681254194
204,lisakovsk,52.5369,62.4936,3.78,69,6,3.97,KZ,1681253920
205,frankfort,-27.2667,28.4833,8.51,34,23,1.25,ZA,1681253920
206,oranjestad,12.524,-70.027,27.97,84,40,10.29,AW,1681253696
207,asau,46.4333,26.4,6.51,96,100,2.31,RO,1681254194
208,beloha,-25.1667,45.05,21.72,95,82,0.62,MG,1681253921
209,vardo,70.3705,31.1107,0.99,64,100,7.72,NO,1681254142
210,asfi,32.2994,-9.2372,17.45,65,0,6.58,MA,1681253921
211,husavik,66.0449,-17.3389,1.82,89,47,3.31,IS,1681254154
212,guane,22.2025,-84.0875,23.57,78,100,1.75,CU,1681253921
213,helong,42.5397,128.9972,2.8,19,0,6.4,CN,1681254195
214,shubarkuduk,49.1447,56.4872,8.57,42,3,3.43,KZ,1681253922
215,ponta do sol,32.6667,-17.1,19.84,83,0,1.72,PT,1681254108
216,saskylakh,71.9167,114.0833,-24.61,100,93,2.32,RU,1681254074
217,san,13.3034,-4.8956,31.65,17,96,10.37,ML,1681253922
218,bandarbeyla,9.4942,50.8122,26.88,80,21,4.4,SO,1681254193
219,acapulco,16.8634,-99.8901,28.7,59,41,2.93,MX,1681254002
220,labuan,5.2767,115.2417,25.2,88,40,0.0,MY,1681253922
221,leningradskiy,69.3833,178.4167,-17.04,88,98,3.81,RU,1681254114
222,moga,30.8,75.1667,22.82,34,89,2.62,IN,1681253923
223,mezhdurechensk,53.6942,88.0603,-3.93,87,100,2.91,RU,1681253923
224,whitehorse,60.7161,-135.0538,4.5,30,75,5.66,CA,1681253676
225,sawakin,19.1059,37.3321,27.26,86,9,3.45,SD,1681254196
226,toro,4.6117,-76.0814,27.6,90,100,1.72,CO,1681253923
227,nizhniy ufaley,55.9153,59.9842,-1.05,69,54,1.77,RU,1681253923
228,palana,59.1167,159.9667,-13.22,83,99,6.71,RU,1681253923
229,kelowna,49.8831,-119.4857,11.03,47,100,5.14,CA,1681253777
230,cabo san lucas,22.8909,-109.9124,33.12,49,71,6.26,MX,1681254163
231,los llanos de aridane,28.6585,-17.9182,17.86,77,40,7.72,ES,1681254197
232,talnakh,69.4865,88.3972,-24.78,98,100,1.97,RU,1681253924
233,bima,-8.4667,118.7167,25.44,93,95,0.53,ID,1681253924
234,geraldton,-28.7667,114.6,13.23,88,0,3.6,AU,1681254101
235,waren,53.5167,12.6833,2.23,93,75,2.65,DE,1681253924
236,pakokku,21.3333,95.1,29.1,36,0,1.47,MM,1681253924
237,adrar,20.5022,-10.0711,22.1,67,100,1.22,MR,1681254141
238,benguela,-12.5763,13.4055,25.81,85,97,2.35,AO,1681253925
239,namibe,-15.1961,12.1522,23.55,63,1,3.55,AO,1681254197
240,cherskiy,68.75,161.3,-19.52,91,87,1.71,RU,1681254055
241,alofi,-19.0595,-169.9187,27.94,69,75,6.17,NU,1681254198
242,rudnyy,52.9594,63.1206,-0.87,69,9,3.65,KZ,1681253925
243,hurghada,27.2574,33.8129,20.02,26,0,3.09,EG,1681253925
244,puerto escondido,15.85,-97.0667,31.46,70,40,3.09,MX,1681253925
245,tahta,26.7693,31.5021,18.53,24,1,7.02,EG,1681253926
246,ozu,33.5,132.55,17.68,84,98,2.17,JP,1681253926
247,dikson,73.5069,80.5464,-24.71,96,97,7.5,RU,1681254133
248,torrevieja,37.9787,-0.6822,16.91,85,62,2.48,ES,1681253926
249,khatanga,71.9667,102.5,-15.06,82,100,6.3,RU,1681254199
250,marsh harbour,26.5412,-77.0636,21.17,79,100,11.51,BS,1681253926
251,banda aceh,5.5577,95.3222,26.18,79,86,0.77,ID,1681254199
252,mount isa,-20.7333,139.5,22.87,46,91,0.0,AU,1681253926
253,miracema do tocantins,-9.5618,-48.3967,24.02,89,35,0.69,BR,1681253927
254,marawi,7.9986,124.2928,22.54,79,15,0.97,PH,1681254199
255,tazovskiy,67.4667,78.7,-31.28,100,38,4.01,RU,1681253927
256,oktyabrskiy,54.4815,53.471,5.13,59,0,2.12,RU,1681253927
257,abeokuta,7.15,3.35,26.11,83,92,2.72,NG,1681253656
258,cidreira,-30.1811,-50.2056,22.97,86,25,6.64,BR,1681254200
